User-ID,ISBN,Book-Rating
276725,034545104X,0
276726,155061224,2.5
276727,446520802,0
276729,052165615X,1.5
276729,521795028,3
276733,2080674722,0
276736,3257224281,4
276737,600570967,3
276744,038550120X,3.5
276745,342310538,5
276746,425115801,0
276746,449006522,0
276746,553561618,0
276746,055356451X,0
276746,786013990,0
276746,786014512,0
276747,60517794,4.5
276747,451192001,0
276747,609801279,0
276747,671537458,4.5
276747,679776818,4
276747,943066433,3.5
276747,1570231028,0
276747,1885408226,3.5
276748,747558167,3
276748,3442437407,0
276751,033390804X,0
276751,3596218098,4
276754,684867621,4
276755,451166892,2.5
276760,8440682697,5
276762,034544003X,0
276762,380000059,0
276762,380711524,2.5
276762,451167317,0
276762,451454952,0
276762,843920262,0
276762,3404122879,0
276762,3404182928,0
276762,3404611306,0
276762,342662429,0
276762,3426690179,0
276762,3442424216,0
276762,3442425573,0
276762,3453092007,4
276762,3453157745,0
276762,3453176944,0
276762,3453185137,0
276762,3453185323,0
276762,3453213025,1.5
276762,3453877241,0
276762,3492226604,0
276762,3517017442,0
276762,3596125006,0
276762,B0000BLD7X,0
276762,N3453124715,2
276765,9029716894,0
276768,9057868059,2
276772,140279091,0
276772,553572369,3.5
276772,571058086,0
276772,3499230933,5
276772,3596151465,5
276774,99543818,0
276774,3404147723,0
276774,3423111321,0
276774,3442136644,4.5
276774,3492232000,0
276780,8434811634,0
276780,8484330478,3.5
276780,8484332039,3.5
276786,2864322102,3
276786,8402065945,0
276786,8423314901,0
276786,842333533X,0
276786,8427911769,0
276786,8433914456,0
276786,8437606322,4
276786,8445072919,0
276786,8466300821,3
276786,847765011X,0
276786,8478442588,3
276786,8495368099,0
276788,345443683,4
276788,043935806X,3.5
276788,055310666X,5
276796,330332775,2.5
276796,330367358,0
276798,6379702,2.5
276798,3423084049,0
276798,3442131340,3.5
276798,3442437407,0
276798,3446202102,0
276798,3453073398,0
276798,3453115783,0
276798,3499134004,0
276798,349915398X,0
276798,3548603203,3
276798,3764501383,0
276798,3791535889,0
276800,61054143,0
276800,61054151,0
276800,61056774,0
276800,671021346,0
276800,671024108,0
276800,1562827898,3.5
276803,9726954835,0
276804,64405176,0
276804,439104769,0
276804,440498058,4
276806,8807817144,0
276806,8845915913,0
276808,395547032,5
276811,440414121,5
276812,8879839993,4
276813,8401328322,0
276813,8401461189,0
276813,8401471796,0
276813,8423996565,4
276813,8424130081,0
276813,8426449476,4
276813,8426449573,3
276813,8478884831,4
276813,8478885218,3
276813,8478885463,3
276813,8478886044,4
276813,8495618052,0
276814,91830893,4
276814,586207414,3.5
276814,812571029,4.5
276817,671749609,0
276820,140062718,0
276820,140260498,4.5
276822,60096195,5
276822,141310340,4.5
276822,142302198,5
276822,156006065,4.5
276822,375821813,4.5
276822,038076041X,5
276822,439087597,0
276822,439401399,3
276822,552546933,4.5
276822,689804458,4
276822,699854289,5
276822,786812508,4.5
276822,786817070,5
276822,805057706,5
276822,1551925060,4
276822,1573248533,5
276827,000651118X,3.5
276828,385272324,0
276828,2038701962,0
276828,2070264564,0
276828,2070334430,0
276828,2070403734,0
276828,2080680676,0
276828,2232122263,0
276828,2253044903,0
276828,2253150711,3.5
276828,2266076000,0
276828,2277221678,0
276828,2290321028,0
276828,2842190009,0
276830,440225825,4.5
276832,316781266,0
276832,345446860,2.5
276833,671876244,0
276835,3125785006,5
276837,380005239,2.5
276838,1593080255,0
276840,330201700,0
276840,385729340,0
276842,3809407536,3.5
276847,446364193,0
276847,3257200552,2.5
276847,3379015180,0
276847,3404145909,4
276847,3404148576,4
276847,3404921178,3.5
276847,3423071516,5
276847,3423204885,0
276847,3423205806,0
276847,3426029553,4
276847,3426622610,0
276847,3426671298,4
276847,344215121X,4.5
276847,3442413508,5
276847,3442422035,4.5
276847,3442435773,4
276847,3442437717,3.5
276847,3442441080,5
276847,3442442796,0
276847,3442444020,4
276847,3442446414,5
276847,3442448530,3.5
276847,3442449820,4.5
276847,3453137442,3
276847,3453870190,0
276847,3455077331,0
276847,347354034X,3.5
276847,3492231322,4.5
276847,349912176X,0
276847,3499222213,3.5
